"frame_no","bodyparts","x_p1","y_p1","c_p1","x_p2","y_p2","c_p2"
15,"LShoulder",200.052,581.105,0.742349,503.984,562.945,0.882144
15,"LElbow",0,0,0,535.763,639.998,0.861536
15,"LWrist",0,0,0,467.648,667.195,0.864964
15,"MidHip",199.904,735.085,0.806375,476.674,717.081,0.813796
15,"RHip",199.966,735.268,0.877524,453.899,717.071,0.86472
15,"RKnee",232.005,848.771,0.984483,458.591,821.593,0.842985
15,"RAnkle",200.086,962.24,0.894266,490.134,921.249,0.901569
15,"LHip",195.635,730.609,0.729605,490.427,717.17,0.84595
15,"LKnee",200.045,844.114,0.871825,485.738,830.53,0.868415
15,"LAnkle",195.577,957.314,0.799716,521.917,952.913,0.868379
15,"REye",236.23,517.512,0.928797,0,0,0
15,"LEye",0,0,0,449.37,494.933,0.938971
15,"REar",200.328,522.243,0.981407,0,0,0
15,"LEar",0,0,0,481.191,508.537,0.883023
15,"LBigToe",245.467,971.106,0.345405,481.144,971.135,0.867311
15,"LSmallToe",236.546,962.096,0.328022,490.445,980.169,0.831084
15,"LHeel",172.819,962.238,0.4454,526.661,961.915,0.910816
15,"RBigToe",250.001,993.792,0.818674,449.47,948.42,0.854038
15,"RSmallToe",236.169,998.193,0.870879,449.608,930.357,0.803837
15,"RHeel",195.273,984.675,0.832031,499.333,925.806,0.583877
16,"Nose",240.987,522.294,0.930968,440.341,512.943,0.853392
16,"Neck",195.685,589.94,0.842111,485.668,567.373,0.902467
16,"RShoulder",191.014,590.164,0.895992,454.053,567.602,0.86097
16,"RElbow",195.612,671.775,0.918165,453.989,644.587,0.77142
16,"RWrist",231.932,744.211,1.0051,422.394,707.833,0.87739
16,"LShoulder",200.159,585.542,0.748895,508.43,563.01,0.881067
16,"LElbow",0,0,0,535.692,640.05,0.870966
16,"LWrist",0,0,0,472.139,667.305,0.855315
16,"MidHip",199.924,735.177,0.814757,476.709,717.165,0.817327
16,"RHip",199.925,739.557,0.894537,453.888,717.153,0.863129
16,"RKnee",236.262,848.764,0.994834,458.628,825.899,0.839853
16,"RAnkle",200.095,962.228,0.903605,490.166,921.197,0.902494
16,"LHip",199.953,730.727,0.726821,490.5,721.585,0.841176
16,"LKnee",200.036,848.358,0.890545,485.827,834.986,0.869336
16,"LAnkle",195.582,957.337,0.817138,521.912,952.914,0.868336
16,"REye",236.283,517.57,0.935599,0,0,0
