frame_no,bodyparts,x_p1,y_p1,c_p1,x_p2,y_p2,c_p2
371,Nose,304.589,540.187,0.864324,490.211,522.079,0.36246
372,Nose,304.354,531.254,0.889587,0,0,0
373,Nose,304.111,531.131,0.867096,490.315,517.62,0.387636
374,Nose,299.716,526.839,0.866101,490.386,517.43,0.380472
375,Nose,290.824,526.771,0.864511,0,0,0
376,Nose,290.722,526.871,0.863947,0,0,0
377,Nose,281.766,531.127,0.861043,0,0,0
378,Nose,277.235,531.183,0.879726,0,0,0
379,Nose,272.885,526.729,0.89824,490.607,517.56,0.404375
380,Nose,272.734,526.749,0.91995,490.586,517.512,0.466701
381,Nose,272.61,526.802,0.922993,490.555,521.82,0.497801
382,Nose,268.265,526.751,0.955932,490.492,517.563,0.486503
383,Nose,268.053,526.683,0.963176,490.586,517.519,0.533048
384,Nose,267.875,526.801,0.929394,490.526,517.552,0.563267
385,Nose,263.483,531.143,0.897654,490.518,517.465,0.760971
386,Nose,250.029,531.16,0.890499,490.546,517.62,0.839324
387,Nose,241.059,531.228,0.894833,490.498,517.592,0.854529
388,Nose,236.466,531.205,0.942503,490.339,517.467,0.853341
389,Nose,236.223,531.127,0.966014,490.131,517.579,0.880094
390,Nose,231.767,531.106,0.962968,485.836,517.491,0.895827
391,Nose,231.602,531.147,0.942132,485.707,517.486,0.893153
392,Nose,227.191,526.898,0.925792,485.579,517.465,0.885485
393,Nose,222.66,526.757,0.916141,481.257,513.065,0.848054
394,Nose,213.584,526.55,0.933147,481.149,508.545,0.805998
395,Nose,204.686,526.5,0.955498,472.116,513.035,0.78871
396,Nose,200.206,526.442,0.994113,463.158,517.466,0.851773
397,Nose,200.12,526.457,1.00368,458.574,521.88,0.88854
398,Nose,199.877,526.4,1.01144,454.026,521.912,0.935991
399,Nose,195.701,522.265,1.00326,449.612,522.014,0.946372
400,Nose,195.555,522.218,1.0042,449.46,522.034,0.933267
401,Nose,195.432,522.149,0.99384,449.254,522.159,0.919356
402,Nose,195.367,522.129,0.988815,440.514,522.008,0.873473
403,Nose,195.288,522.072,0.967049,431.456,521.959,0.876276
404,Nose,195.26,522.266,0.97455,422.46,521.933,0.895671
405,Nose,191.015,522.226,0.958993,422.256,521.957,0.926533
406,Nose,190.935,522.198,0.956093,417.956,521.865,0.924783
407,Nose,190.852,522.296,0.945576,417.72,517.454,0.914408
408,Nose,190.799,522.294,0.936325,417.553,521.808,0.928558
409,Nose,186.441,522.229,0.931196,413.292,517.393,0.907044
410,Nose,186.349,522.293,0.926855,413.186,517.554,0.92185
411,Nose,181.854,526.401,0.921045,413.151,512.997,0.901395
412,Nose,177.424,522.245,0.923329,413.05,512.913,0.875779
413,Nose,172.961,526.404,0.922115,408.771,512.951,0.882611
414,Nose,172.912,522.284,0.921185,408.565,512.912,0.863378
415,Nose,168.475,522.295,0.939361,399.653,512.939,0.838764
416,Nose,168.235,526.436,0.960447,395.095,512.911,0.836699
417,Nose,163.995,526.446,0.964043,395.131,517.503,0.869084
418,Nose,163.953,526.542,0.967467,390.644,521.939,0.905858
419,Nose,163.945,526.522,0.971517,390.492,522.12,0.935017
420,Nose,163.953,526.531,0.980867,386.13,522.292,0.938665
421,Nose,163.959,526.711,0.977904,386.033,526.417,0.953625
422,Nose,163.896,526.857,0.966382,381.707,526.411,0.960987
423,Nose,163.825,531.065,0.961815,381.67,526.435,0.968536
424,Nose,163.733,531.213,0.954235,381.515,522.219,0.961856
425,Nose,163.717,535.679,0.929871,381.487,522.213,0.966554
426,Nose,163.617,540.219,0.916956,381.492,522.034,0.959579
427,Nose,159.406,540.216,0.908456,381.531,521.929,0.954439
428,Nose,159.222,535.795,0.915523,381.45,522.017,0.969279
429,Nose,159.182,535.746,0.900951,381.447,522.006,0.966325
430,Nose,159.115,535.66,0.912939,381.461,522.001,0.964644
431,Nose,159.023,535.618,0.900065,381.445,522.051,0.968204
432,Nose,159.016,531.281,0.905156,381.367,522.012,0.965601
433,Nose,154.732,531.187,0.889293,381.357,522.093,0.978298
434,Nose,154.649,531.306,0.862245,381.332,526.417,0.980341
435,Nose,154.625,535.687,0.862942,381.318,526.576,0.9803
436,Nose,154.671,535.676,0.867014,381.328,526.738,0.969307
437,Nose,154.633,535.646,0.870461,381.307,526.796,0.976264
